DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2009-01-19,0.0,,559.0,11.5,-8.8
2009-01-20,0.0,,559.0,7.2,-9.6
2009-01-21,0.0,,559.0,10.4,-9.8
2009-01-22,10.2,,533.0,5.4,1.0
2009-01-23,17.8,,635.0,4.2,-1.9
2009-01-24,7.6,,686.0,5.3,-1.5
2009-01-25,20.3,,889.0,3.4,-6.2
2009-01-26,2.5,,940.0,-3.8,-13.4
2009-01-27,0.0,,838.0,-7.4,-15.7
2009-01-28,0.0,,787.0,-3.7,-8.6
2009-01-29,0.0,,762.0,-1.6,-9.4
2009-01-30,0.0,,737.0,4.9,-11.3
2009-01-31,0.0,,762.0,6.2,-11.8
2009-02-01,0.0,,737.0,1.6,-12.7
2009-02-02,0.0,,711.0,1.2,-6.1
2009-02-03,0.0,,711.0,7.9,-11.7
2009-02-04,0.0,,711.0,7.3,-12.6
2009-02-05,0.0,,711.0,4.2,-11.5
2009-02-06,5.1,,711.0,3.5,-7.2
2009-02-07,0.0,,737.0,1.4,-10.1
2009-02-08,7.6,,813.0,6.4,-10.2
2009-02-09,5.1,,940.0,-2.6,-18.9
2009-02-10,2.5,,864.0,-4.4,-19.5
2009-02-11,0.0,,838.0,-1.1,-11.7
2009-02-12,10.2,,1016.0,-3.5,-13.5
2009-02-13,5.1,,1016.0,-1.9,-22.1
2009-02-14,2.5,,1067.0,-4.6,-16.5
2009-02-15,0.0,,1016.0,-2.4,-20.6
2009-02-16,7.6,,991.0,0.0,-12.8
2009-02-17,27.9,,1448.0,-1.8,-7.3
2009-02-18,0.0,,1270.0,-2.5,-8.6
2009-02-19,0.0,,1219.0,2.5,-17.7
2009-02-20,0.0,,1118.0,4.4,-15.8
2009-02-21,0.0,,1092.0,8.2,-14.2
2009-02-22,0.0,,1041.0,4.1,-9.6
2009-02-23,10.2,,1016.0,6.3,-2.4
2009-02-24,0.0,,991.0,7.7,-5.8
2009-02-25,2.5,,965.0,7.7,-7.2
2009-02-26,2.5,,991.0,4.8,-5.6
2009-02-27,2.5,,1016.0,-1.6,-18.3
2009-02-28,0.0,,991.0,4.4,-18.4
2009-03-01,0.0,,965.0,7.0,-7.5
2009-03-02,0.0,,940.0,11.1,-4.3
